lambda1,lambda2,lambda_Ox,lambda_Red,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0.5549189814940548,1.8020648659514515,0.2609234023063339,0.47020089600076026,4.269976851851852,0.8471990740740741,4.269976851851852,0.8471990740740741,0.8025364784075,313.98,307.932,311.88977239200005,70,0,0.1039049887797319,-0.25337812399856213,0.25337812399856213,0.1039049887797319,0.7857142857142857,1.2142857142857142,1.5714285714285714,79.91976139189039,10.230561557997241,2.0749105400549532,-2.0305718209441173,2.286439107472799,-1.8829591364142328,9.105855274614292,1.2242534157768852,2.6088478266698347,413.8799157979306,9.966255326250886,7.114457752156126,10.286450830385535,6.787693700234704,4.002259450526467,5.588255989641171,2.6676636563755944,4.376337454724636,1.741254550249341,3.0210588054202403,1.1198741960596006,2.0054200161609574,-0.7400000000000002,2096.6944183361034,9.80133906670155,4.190392324953714,1.8576608121145788,98.66288849873672,0.0,11.387855989696922,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,0.0,56.12535606974514,21.33912617489098,0.0,0.0,31.859887795898697,0.0,9.967957041894417,0.0,0.0,0.0,45.604594448737416,0.0,11.387855989696922,0.0,0.0,0.0,31.859887795898697,9.967957041894417,0.0,0.0,0.0,45.604594448737416,0.0,11.387855989696922,0.0,25.78,0.0,0.0,0.0,0.0,0.0,20.33329502136175,0.0,12.393687143226153,24.26546827384644,41.827844837793116,0.0,1.887777777777778,6.8876029856387,8.539953703703704,0.0,1.6943981481481485,0.0,7.65452664399093,3.502407407407407,0.0,0.0,0.0,14,0,2,0,0,0,0,2,2,2,0,4,1,0,0,0,2,3.6686000000000014,62.868000000000016,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1.250654102657152,0.7995815932441992,0.3459813294297757,0.2766403026182062,8.942656840513983,0.4145370370370369,8.942656840513983,0.4145370370370369,0.7135958981523236,206.208,200.15999999999997,206.059246192,74,0,0.10768258278186463,-0.253166105123006,0.253166105123006,0.10768258278186463,0.8125,1.25,1.625,14.7635386333336,10.079330619019698,2.1056404662247217,-2.023112074114628,2.2073305805665258,-1.9366397486851659,5.6779249971312815,1.2206071533184915,2.6966596543645234,549.4012048467125,11.380468888623982,8.252955997137589,8.252955997137589,7.863703305156274,4.571508573017198,4.571508573017198,3.0227454619797807,3.0227454619797807,2.0806327581446666,2.0806327581446666,1.3684503892309745,1.3684503892309745,-2.7199999999999993,6541.7163905250745,9.820608400222836,4.203417296534151,1.6017937582236137,92.44283687918464,0.0,23.52629861528147,0.0,0.0,0.0,0.0,9.967957041894417,0.0,10.523783109476973,0.0,0.0,24.26546827384644,12.393687143226153,11.126902983393991,0.0,0.0,10.523783109476973,9.967957041894417,0.0,0.0,0.0,47.78605840046659,0.0,23.52629861528147,0.0,0.0,0.0,0.0,9.967957041894417,0.0,22.66222573506152,11.126902983393991,36.65915541707259,0.0,11.387855989696922,0.0,73.36,0.0,0.0,0.0,0.0,22.514758973090913,0.0,0.0,36.65915541707259,12.138442625584547,9.967957041894417,10.523783109476973,0.0,0.0,8.184537037037035,17.885313681027966,1.721944444444445,0.0,10.724062736205594,3.150808767951625,0.0,0.0,0.0,16,0,4,0,0,0,0,2,2,4,0,4,1,0,0,0,2,1.8869599999999997,56.89800000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1.2478128492762708,0.8014022299738285,0.440500416949956,0.353018016448096,4.346851851851852,0.9774074074074075,4.346851851851852,0.9774074074074075,0.680654393103414,184.242,172.14599999999996,184.100048384,70,0,0.09174353586201855,-0.25432823606526184,0.25432823606526184,0.09174353586201855,0.7857142857142857,1.2142857142857142,1.5714285714285714,14.760211585251753,10.08676166087562,2.0523886332871046,-2.0511361648043502,2.2027605204601213,-1.921473729431305,5.610632420306796,1.187367965846021,2.6088478266698347,406.07964673815036,9.966255326250886,8.358528806137672,8.358528806137672,6.787693700234704,4.62429497751724,4.62429497751724,3.3378137988246146,3.3378137988246146,2.243199979937753,2.243199979937753,1.4671895572827098,1.4671895572827098,-1.7,2096.6944183361034,8.87889083611284,3.5797336438830665,1.50865721688767,83.65767751624722,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,12.13273413692322,37.10711151969846,12.393687143226153,11.387855989696922,0.0,0.0,0.0,9.967957041894417,0.0,13.847474399381248,0.0,47.78605840046659,0.0,11.387855989696922,0.0,0.0,0.0,0.0,9.967957041894417,0.0,13.847474399381248,11.126902983393991,36.65915541707259,0.0,11.387855989696922,0.0,25.78,0.0,0.0,0.0,0.0,0.0,22.514758973090913,0.0,12.393687143226153,12.13273413692322,35.94816557819888,0.0,0.0,0.0,8.693703703703704,0.0,4.277592592592594,0.0,7.987222222222222,3.6040740740740738,4.104074074074074,0.0,0.16666666666666666,14,0,2,0,0,0,0,2,2,2,0,2,1,0,0,0,2,2.760440000000001,56.94200000000003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0.7623339034287567,1.3117611528259339,0.31534480229885997,0.4136570614012188,6.03519038229862,0.7072960205882147,6.03519038229862,0.7072960205882147,0.39306524352411415,377.27400000000006,363.16200000000003,376.053403808,126,0,0.09702619700798343,-0.2539370451462341,0.2539370451462341,0.09702619700798343,0.5,0.8846153846153846,1.2692307692307692,35.49678431860005,9.966119449334716,2.143745083503628,-2.1235603740115665,2.352362831392786,-1.9414005128007088,6.305066982290151,1.2482243119487293,1.8972518741605906,955.1963927376437,17.93251065250177,13.733259905673135,15.245117797710046,12.720346690612274,8.144993860618303,8.900922806636759,5.812924713891414,6.685796274835384,4.150181723249895,4.654134353928865,2.9127941748592727,3.164770490198758,-2.679999999999999,1375989.3364372712,16.770467013423747,7.284258020491931,3.342422238408737,161.6485141533454,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,59.60008219123469,47.52510539416365,33.565856754102796,11.387855989696922,0.0,23.20187978046503,0.0,9.967957041894417,0.0,0.0,0.0,95.23535859224815,0.0,33.6416619564849,0.0,0.0,0.0,23.20187978046503,9.967957041894417,0.0,0.0,0.0,85.19009196476549,10.045266627482652,33.6416619564849,0.0,25.78,0.0,0.0,0.0,0.0,10.045266627482652,33.6416619564849,0.0,12.393687143226153,72.79640482153933,9.967957041894417,23.20187978046503,0.0,12.07038076459724,9.259823283222754,1.4145920411764297,5.784558942918733,0.0,23.45264256753615,3.5735579561042523,0.0,0.0,0.0,26,0,2,0,0,0,2,2,4,2,0,4,3,0,0,0,4,6.784400000000004,108.36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1.0002355019128588,0.9997645535352341,0.4622825822990976,0.4621737394993724,12.813254913076342,-4.815492724867725,12.813254913076342,0.6638567649281935,0.7367725361556419,292.18199999999996,286.134,292.043517512,106,0,0.41806460344488644,-0.2539610201808022,0.41806460344488644,0.2539610201808022,0.65,1.0,1.3,19.417028566345273,10.052921101699745,2.390039702563383,-2.1465376640441347,2.3965173686451435,-2.1279232980263143,5.635019770651273,-0.13930128749064402,2.7101441192409683,562.3299917401328,14.966255326250886,9.626315644193035,9.626315644193035,9.210343431045079,5.258188396544921,5.258188396544921,3.7946568023150715,3.7946568023150715,2.4505301045070054,2.4505301045070054,1.645505142635838,1.645505142635838,-2.1200000000000006,21565.261901445698,14.292507181844297,4.767736577725448,2.7311873468976846,108.65088993380462,0.0,11.387855989696922,0.0,0.0,0.0,12.35259703488695,9.967957041894417,0.0,26.34249028604892,0.0,0.0,24.26546827384644,12.393687143226153,11.126902983393991,26.34249028604892,0.0,0.0,9.967957041894417,0.0,12.35259703488695,0.0,47.78605840046659,0.0,11.387855989696922,0.0,26.34249028604892,0.0,0.0,9.967957041894417,12.35259703488695,0.0,11.126902983393991,36.65915541707259,0.0,11.387855989696922,0.0,25.78,34.86735600797786,26.34249028604892,0.0,0.0,12.13273413692322,24.52642128014937,0.0,0.0,0.0,9.967957041894417,0.0,76.87952947845804,0.0,6.81412037037037,0.0,-4.199768518518519,0.0,3.332723922902494,-7.659938586545728,0.0,0.0,0.16666666666666666,20,0,2,0,0,0,0,2,2,2,0,8,1,0,0,0,2,4.181200000000001,57.47200000000001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1.186249757227911,0.8429927963373002,0.498608866797094,0.42032368289985467,5.969596245905769,0.549166666666667,5.969596245905769,0.549166666666667,0.7421853372802102,225.078,219.02999999999997,223.990803552,70,0,0.10869214197928051,-0.25298062067745347,0.25298062067745347,0.10869214197928051,0.7857142857142857,1.2142857142857142,1.5714285714285714,35.49678571097484,10.224570060414035,2.0813702855612606,-2.02517228424303,2.2802026404414444,-1.878667922867269,6.35355628143447,1.2471652726694753,2.6088478266698347,413.8799157979306,9.966255326250886,7.114457752156126,8.626315644193035,6.787693700234704,4.002259450526467,4.758188396544921,2.6676636563755944,3.4820639098568065,1.741254550249341,2.351243953039143,1.1198741960596006,1.5419493405702742,-1.12,2096.6944183361034,9.435606308498533,3.9452111462223494,1.7157026912459548,91.53432574121736,0.0,11.387855989696922,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,23.20187978046503,24.26546827384644,12.393687143226153,10.045266627482652,0.0,23.20187978046503,0.0,9.967957041894417,0.0,0.0,0.0,46.704422044555244,0.0,11.387855989696922,0.0,0.0,0.0,23.20187978046503,9.967957041894417,0.0,0.0,0.0,36.65915541707259,10.045266627482652,11.387855989696922,0.0,25.78,0.0,0.0,0.0,0.0,21.433122617179574,0.0,0.0,36.65915541707259,0.0,9.967957041894417,23.20187978046503,0.0,11.939192491811538,8.260925925925925,1.098333333333334,1.2217901234567907,0.0,7.050745779793399,3.317901234567901,0.0,0.0,0.0,14,0,2,0,0,0,0,2,2,2,0,4,1,0,0,0,2,3.450400000000002,57.488000000000014,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1.1456085921095487,0.8728984811108811,0.32855831822014625,0.2867980569307112,13.186152683295541,-0.5786111111111112,13.186152683295541,0.0642592592592588,0.6929540351792337,192.16799999999998,186.11999999999998,192.049904632,70,0,0.150689170447424,-0.25139706300965486,0.25139706300965486,0.150689170447424,0.7857142857142857,1.2142857142857142,1.5714285714285714,19.143863145957933,10.20634300783226,2.1059200721803326,-2.0064395443952576,2.1920003789050115,-1.9354852584650921,5.54338917098899,0.6067667946186132,2.6088478266698347,413.8799157979306,9.966255326250886,7.114457752156126,7.114457752156126,6.787693700234704,4.002259450526467,4.002259450526467,2.6676636563755944,2.6676636563755944,1.741254550249341,1.741254550249341,1.1198741960596006,1.1198741960596006,-1.84,2096.6944183361034,8.744806127068301,3.493171612101923,1.460463795447568,79.25886409330647,0.0,11.387855989696922,11.63444168209179,0.0,0.0,0.0,9.967957041894417,8.78083009534964,0.0,0.0,0.0,24.26546827384644,12.393687143226153,0.0,8.78083009534964,0.0,0.0,9.967957041894417,0.0,0.0,0.0,48.29359709916439,0.0,11.387855989696922,0.0,8.78083009534964,0.0,0.0,9.967957041894417,0.0,11.63444168209179,0.0,36.65915541707259,0.0,11.387855989696922,0.0,25.78,11.63444168209179,8.78083009534964,0.0,11.387855989696922,0.0,0.0,36.65915541707259,0.0,0.0,9.967957041894417,0.0,26.37230536659108,0.0,7.463703703703704,0.0,-0.1285185185185178,-1.1572222222222215,5.325657596371882,2.7907407407407403,0.0,0.0,0.0,14,0,2,0,0,0,0,2,2,2,0,4,1,0,0,0,2,2.4218,47.384000000000015,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1.0923939541758714,0.9154206650241162,0.36579344010141635,0.33485487419909776,10.844154856387,-0.6520445956160241,10.844154856387,0.11592592592592532,0.6038161641258386,246.182,240.13399999999996,246.038904672,90,0,0.2968805827394725,-0.2582398116505247,0.2968805827394725,0.2582398116505247,0.8333333333333334,1.2222222222222223,1.5555555555555556,16.632270037893473,10.161987159628998,2.2426850018439897,-2.0112808820717105,2.3115854855463795,-1.990241433459157,5.728622441261892,-0.38632414026265044,2.6974636434800603,573.2796739411082,13.120955864630139,8.885949158993041,8.885949158993041,8.609060905280622,4.80180531635742,4.80180531635742,3.256488787302226,3.256488787302226,2.190527142742363,2.190527142742363,1.4531925216434463,1.4531925216434463,-2.8999999999999995,13022.701377774381,11.58146290652367,4.534587057963683,1.9829933520124905,100.2337447324536,0.0,0.0,11.387855989696922,0.0,11.374772549367124,0.0,20.228636537531145,9.967957041894417,0.0,0.0,0.0,12.13273413692322,24.52642128014937,9.846622097635342,9.846622097635342,11.374772549367124,0.0,9.967957041894417,0.0,0.0,0.0,56.88779195460374,0.0,11.387855989696922,0.0,11.374772549367124,0.0,0.0,19.81457913952976,0.0,20.228636537531145,0.0,36.65915541707259,0.0,11.387855989696922,0.0,112.05999999999999,9.846622097635342,20.228636537531145,0.0,22.762628539064046,0.0,0.0,36.65915541707259,0.0,0.0,9.967957041894417,0.0,0.0,0.0,27.99347978080121,21.688309712774,-0.8720370370370356,0.0,5.216558956916099,2.6403552532123955,0.0,0.0,0.0,18,0,8,0,0,0,0,2,2,6,0,8,3,0,0,0,2,1.9599999999999997,60.77680000000001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0.9381489669971917,1.065928797215201,0.33484671099190255,0.3569227518990647,5.241178193499622,0.6800925925925927,5.241178193499622,0.6800925925925927,0.7882078189021317,216.23999999999998,204.14399999999995,216.089877624,82,0,0.1463932668507565,-0.4944060829983515,0.4944060829983515,0.1463932668507565,0.8125,1.25,1.625,16.47065438292946,10.186525202270374,2.1204723468574262,-2.089031128927064,2.3128719231981334,-1.9525697673363045,5.676179573042036,0.40731197712510825,2.576878804239788,440.449905948586,11.380468888623982,9.175025387065398,9.175025387065398,7.863703305156274,4.84903984890883,4.84903984890883,3.1085382257262992,3.1085382257262992,2.2055181835033357,2.2055181835033357,1.4662151833937702,1.4662151833937702,-2.1,6541.7163905250745,10.418895545245709,4.6129365420065165,1.81631659408281,93.88476797526097,9.473725907600098,22.886879656264732,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,0.0,24.26546827384644,12.393687143226153,14.219595082555067,9.473725907600098,0.0,0.0,9.967957041894417,0.0,0.0,14.219595082555067,36.65915541707259,0.0,22.886879656264732,9.473725907600098,0.0,11.49902366656781,0.0,24.187552124449482,0.0,0.0,0.0,36.65915541707259,0.0,11.387855989696922,0.0,44.24,0.0,0.0,0.0,0.0,22.886879656264732,0.0,0.0,26.61328222578122,24.26546827384644,9.967957041894417,9.473725907600098,10.482356386999244,0.0,8.521759259259259,0.0,1.3656481481481484,1.3601851851851854,7.321831065759637,3.4007407407407406,0.0,3.214145880574452,0.16666666666666666,16,0,4,0,0,0,0,2,2,4,0,4,3,0,0,0,2,2.1608,60.57200000000003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1.0528711015970296,0.9497838799860373,0.21403936619787128,0.20329113969716645,4.237592592592593,0.8617361111111113,4.237592592592593,0.8617361111111113,0.8025364784075,313.98,307.932,311.88977239200005,70,0,0.08972481842668223,-0.25453758952222877,0.25453758952222877,0.08972481842668223,0.7857142857142857,1.2142857142857142,1.5714285714285714,79.91976134911359,10.232285220193072,2.0063540251764027,-1.9966959102265687,2.2046649909568217,-1.8562008845473834,9.104508361259398,1.2355498017959874,2.492123645200362,413.8799157979306,9.966255326250886,7.1144577521561265,10.286450830385535,6.7540201954234895,3.990293322239052,5.576289861353756,2.718599690572551,4.54995074815593,1.7063966899357206,2.6928999673697995,1.0896801434904222,1.7597767033621319,-0.7400000000000002,1970.1337814922244,9.80133906670155,4.190392324953714,2.190855283538215,98.6628884987367,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,31.859887795898697,24.26546827384644,21.33912617489098,11.387855989696922,0.0,31.859887795898697,0.0,9.967957041894417,0.0,0.0,0.0,45.604594448737416,0.0,11.387855989696922,0.0,0.0,0.0,31.859887795898697,9.967957041894417,0.0,0.0,0.0,45.604594448737416,0.0,11.387855989696922,0.0,25.78,0.0,0.0,0.0,0.0,0.0,20.33329502136175,0.0,12.393687143226153,24.26546827384644,41.827844837793116,0.0,2.0079176114890407,6.7968785430839,8.475185185185186,0.0,1.7234722222222225,0.0,7.6592420162509445,3.503971088435374,0.0,0.0,0.0,14,0,2,0,0,0,0,2,2,2,0,4,1,0,0,0,2,3.6686000000000014,62.868000000000016,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
